Sample;sox10;elavl3;ltk;neurog1;pax7b;phox2b;pnp4a;mitfa;xdh;mbpa;tyrp1b;snail2;sox9b;rpl13;Kan 
sc49;Undetermined;16.71500587;Undetermined;Undetermined;Undetermined;Undetermined;33.37477112;Undetermined;Undetermined;34.56739807;32.53367615;33.43391418;37.25848389;12.51693153;8.143634796
sc50;Undetermined;16.88607979;Undetermined;16.43475533;16.17027092;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;14.85749245;6.264746666
sc51;Undetermined;16.95122337;Undetermined;18.58440971;Undetermined;Undetermined;Undetermined;18.21062851;Undetermined;Undetermined;14.66824436;17.31262779;Undetermined;16.78868294;8.606059074
sc52;18.0526104;30.23093605;Undetermined;Undetermined;Undetermined;Undetermined;14.81278038;Underemined;17.91824722;16.87857246;26.79874992;35.15680313;Undetermined;12.77057171;8.488509178
sc53;Undetermined;31.88933182;Undetermined;17.54005241;28.81810379;Undetermined;Undetermined;17.84637833;Undetermined;Undetermined;16.29216385;Undetermined;Undetermined;16.31958961;9.53754807
sc54;Undetermined;34.16049957;Undetermined;19.64713287;16.08442688;33.85904312;33.44571304;17.08206367;35.70851135;17.57688141;32.76639938;33.67014313;34.70388794;12.29198265;9.095679283
sc55;Undetermined;34.19993591;Undetermined;33.92635727;Undetermined;35.92576218;37.00615311;Undetermined;Undetermined;35.94244385;36.48965073;Undetermined;17.10180283;12.77276802;9.297833443
sc56;34.54847336;34.37822342;Undetermined;33.10513306;32.59714508;32.53828812;32.55216599;Undetermined;Undetermined;31.22751808;30.35481262;25.85537529;34.81763077;13.10734463;9.694085121
sc57;Undetermined;35.41682053;Undetermined;33.86459732;Undetermined;16.01734352;32.61948013;18.2618084;34.70751572;26.44349861;31.30274773;16.83996964;35.52647781;13.37858295;9.925886154
sc58;33.33131409;37.48040771;Undetermined;31.55595398;Undetermined;31.21296883;30.48807335;Undetermined;33.24091721;30.71844101;28.15376663;32.72027588;34.04849243;12.38095474;10.0832777
sc59;Undetermined;Undetermined;Undetermined;34.00593567;11.82366276;35.68507004;35.33290482;30.506567;Undetermined;31.16091537;Undetermined;33.98815536;36.94716263;13.35432243;9.685529709
sc60;Undetermined;Undetermined;Undetermined;16.69527054;14.89436722;17.21818161;Undetermined;18.12864876;Undetermined;NA;Undetermined;17.58790016;NA;25.96978569;7.966201305
sc61;19.24585152;Undetermined;Undetermined;Undetermined;14.92015743;Undetermined;17.05452919;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;19.61013222;8.77538681
sc62;Undetermined;Undetermined;Undetermined;17.44784546;15.19262314;Undetermined;16.89014626;Undetermined;18.37154007;Undetermined;Undetermined;Undetermined;Undetermined;14.39780807;8.633252144
sc63;Undetermined;Undetermined;Undetermined;20.84071732;15.35591984;20.35820007;Undetermined;18.26027107;Undetermined;Undetermined;Undetermined;28.66532707;Undetermined;36.79154205;10.31180382
sc64;Undetermined;Undetermined;Undetermined;17.31657791;15.8457489;Undetermined;Undetermined;22.7387867;Undetermined;NA;Undetermined;19.15137672;NA;11.56919861;8.351338387
sc65;Undetermined;Undetermined;Undetermined;Undetermined;16.32893181;Undetermined;Undetermined;Undetermined;Undetermined;26.24872398;Undetermined;Undetermined;Undetermined;36.82891083;15.35634613
sc66;1.438563466;Undetermined;Undetermined;Undetermined;16.4431572;22.90436554;Undetermined;16.82763672;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.5126152;8.812832832
sc67;Undetermined;Undetermined;Undetermined;31.35824203;16.53982925;Undetermined;Undetermined;20.95516586;Undetermined;17.4380703;Undetermined;Undetermined;17.9126339;13.78978298;8.23892498
sc68;Undetermined;Undetermined;Undetermined;34.45317078;17.29949379;15.43741131;33.82126236;16.61894989;Undetermined;35.22962952;Undetermined;Undetermined;37.57271576;12.75008392;9.723680496
sc69;Undetermined;Undetermined;Undetermined;Undetermined;17.44598389;16.45829201;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;17.15486145;10.59458923
sc70;20.41193771;Undetermined;Undetermined;18.14181328;17.50127983;37.75494385;34.70768356;Undetermined;Undetermined;19.31804466;35.95152283;32.08396149;33.66825104;11.86230087;9.444130898
sc71;Undetermined;Undetermined;Undetermined;34.07598877;22.59174347;23.77342033;Undetermined;19.0779705;Undetermined;17.39364624;17.14351463;Undetermined;17.73726082;15.08821774;9.484514236
sc72;21.09619522;Undetermined;Undetermined;Undetermined;24.1031208;29.09044838;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.60112572;10.03069878
sc73;Undetermined;Undetermined;Undetermined;16.72319412;26.21215439;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.65818787;14.51644325
sc74;Undetermined;Undetermined;Undetermined;30.29494476;27.83096123;22.22608948;Undetermined;Undetermined;Undetermined;18.73753929;Undetermined;34.34613419;Undetermined;14.83084106;16.2359066
sc75;Undetermined;Undetermined;Undetermined;Undetermined;28.5134964;22.39498138;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;15.47669792;10.34838676
sc76;Undetermined;Undetermined;Undetermined;Undetermined;28.9582634;Undetermined;17.24992943;Undetermined;Undetermined;19.63358116;Undetermined;16.98091316;18.37624931;15.20847797;7.406002998
sc77;Undetermined;Undetermined;Undetermined;Undetermined;29.16543388;14.791399;Undetermined;Undetermined;Undetermined;30.53577423;Undetermined;Undetermined;Undetermined;14.07089424;8.99213028
sc78;Undetermined;Undetermined;Undetermined;Undetermined;29.53813171;Undetermined;Undetermined;Undetermined;Undetermined;21.48092651;Undetermined;Undetermined;Undetermined;16.19025803;11.03602409
sc79;Undetermined;Undetermined;Undetermined;Undetermined;29.67691422;Undetermined;Undetermined;Undetermined;Undetermined;23.71655273;Undetermined;Undetermined;Undetermined;14.7452898;12.03510094
sc80;Undetermined;Undetermined;Undetermined;Undetermined;29.8331604;Undetermined;Undetermined;16.84497261;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.40573883;6.714245796
sc81;Undetermined;Undetermined;Undetermined;31.61442566;29.8667984;15.79814911;Undetermined;31.67610931;Undetermined;NA;Undetermined;32.16375351;NA;15.64055157;8.886190414
sc82;Undetermined;Undetermined;Undetermined;Undetermined;29.95704269;15.36047268;Undetermined;35.74216843;Undetermined;Undetermined;Undetermined;21.26831245;Undetermined;16.79365158;9.42647457
sc83;20.1781311;Undetermined;Undetermined;25.17181015;33.65415573;Undetermined;35.00248718;16.19795036;Undetermined;16.46010399;Undetermined;34.83084869;17.97237396;12.31725788;8.990561485
sc84;23.62807655;Undetermined;Undetermined;Undetermined;34.50615692;Undetermined;35.65163422;17.3795681;Undetermined;25.98525429;34.78379059;16.7673378;Undetermined;13.03312302;8.136043549
sc85;Undetermined;Undetermined;Undetermined;35.22677231;35.19632339;30.2166481;32.23796463;Undetermined;Undetermined;34.74652863;29.25263786;37.70614624;36.91622162;12.57528496;9.409258842
sc86;30.39610481;Undetermined;Undetermined;30.06615448;35.32286835;29.35246658;34.74683762;18.06145096;Undetermined;36.09597015;Undetermined;35.7448082;27.9883194;12.59051418;9.03805542
sc87;Undetermined;Undetermined;Undetermined;Undetermined;35.75329971;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;37.01564026;15.27186394;8.577322006
sc88;18.56703377;Undetermined;Undetermined;Undetermined;36.42347717;31.81782913;14.39776897;18.88067055;Undetermined;37.34963608;Undetermined;32.30631256;37.43231201;14.0381918;8.322042465
sc89;Undetermined;Undetermined;Undetermined;Undetermined;underemined;35.24518967;35.61796951;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;36.54391479;12.95234108;9.007833481
sc90;19.91142273;Undetermined;Undetermined;Undetermined;Undetermined;32.11209488;35.17269516;21.03685951;Undetermined;Undetermined;Undetermined;31.65727043;17.75302505;13.13147545;8.934256554
sc91;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;18.50452423;17.7508049;9.383404732
sc92;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;15.71523857;34.96650696;17.02346611;Undetermined;Undetermined;Undetermined;31.46858025;22.63604355;12.70845032;9.275832176
sc93;21.97258759;Undetermined;Undetermined;Undetermined;Undetermined;17.31599617;36.10467911;17.90501213;Undetermined;18.84090233;Undetermined;Undetermined;26.86140251;13.47232819;8.434931755
sc94;Undetermined;Undetermined;Undetermined;28.17624474;Undetermined;33.84273529;33.92057419;Undetermined;Undetermined;20.28071976;32.38814545;34.24385834;34.97962952;11.82680321;11.85116196
sc95;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;37.38783646;33.96855927;Undetermined;Undetermined;Undetermined;Undetermined;25.47885132;35.84091949;14.02784252;9.191781044
sc96;Undetermined;Undetermined;Undetermined;36.52321243;Undetermined;Undetermined;15.34003639;27.92092705;Undetermined;30.91968727;10.92017078;36.03091431;35.97529221;12.76064491;9.051493645
sc97;21.34860229;Undetermined;Undetermined;Undetermined;Undetermined;33.9551239;35.30940247;17.78391075;Undetermined;23.61640167;Undetermined;Undetermined;36.10238266;12.87884045;10.16112995
sc98;21.25024223;Undetermined;Undetermined;31.55434608;Undetermined;Undetermined;16.97800827;17.26939583;Undetermined;32.46022797;Undetermined;Undetermined;36.20767593;12.28129387;9.444861412
sc99;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;34.91673279;35.20022202;Undetermined;Undetermined;Undetermined;Undetermined;17.4640007;36.22553253;12.54577732;8.793610573
sc100;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;37.33485031;34.5158844;Undetermined;Undetermined;Undetermined;Undetermined;35.62742996;36.31496429;12.45912075;8.246144295
sc101;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;35.89317703;35.31719589;18.0315609;Undetermined;16.48269463;Undetermined;Undetermined;36.42445374;12.68591881;9.408778191
sc102;26.92342758;Undetermined;Undetermined;28.45360565;Undetermined;31.36475754;33.83603287;16.23181152;Undetermined;31.63791084;34.62814713;32.29891968;36.45539474;13.21204472;9.159119606
sc103;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;25.31999588;34.91874313;16.99701881;Undetermined;Undetermined;Undetermined;34.98611832;36.53923035;13.6833353;9.291989326
sc104;34.9160347;Undetermined;Undetermined;Undetermined;Undetermined;35.62287903;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;35.20065308;36.60866928;13.26935673;9.655786514
sc105;35.19749451;Undetermined;Undetermined;18.23841095;Undetermined;36.29127884;31.30287552;17.96837234;Undetermined;Undetermined;28.35862541;35.10539627;36.61461639;14.08516884;8.967720032
sc106;Undetermined;Undetermined;Undetermined;36.15822601;Undetermined;30.34938812;34.34345245;Undetermined;Undetermined;33.01522064;Undetermined;36.0976181;36.61825943;12.32654858;9.478341103
sc107;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;35.37520218;34.46945953;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;36.67724228;12.85434532;9.121823311
sc108;21.09181023;Undetermined;Undetermined;Undetermined;Undetermined;36.24032211;34.87199402;17.17019463;Undetermined;Undetermined;Undetermined;27.03557777;36.82880402;13.83221436;8.286944389
sc109;Undetermined;Undetermined;Undetermined;18.68390656;Undetermined;Undetermined;34.38014603;17.18540382;Undetermined;Undetermined;Undetermined;Undetermined;36.8536644;12.84296417;9.476281166
sc110;Undetermined;Undetermined;Undetermined;20.11051369;Undetermined;Undetermined;34.63454437;29.24030685;Undetermined;Undetermined;Undetermined;Undetermined;36.96386719;14.84832573;9.149044037
sc111;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;35.82960129;36.93254471;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;37.01565552;13.72327232;9.174408913
sc112;35.74021149;Undetermined;Undetermined;Undetermined;Undetermined;34.82411194;35.65654373;Undetermined;Undetermined;Undetermined;35.79183197;33.94240189;37.05965424;12.99399853;6.878537655
sc113;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;30.32445335;Undetermined;Undetermined;37.13182068;Undetermined;34.64915848;34.99921417;37.11737061;12.02552986;9.560456276
